<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GAZP,60,20230726,210000,171.3000000
GAZP,60,20230726,220000,171.5400000
GAZP,60,20230726,230000,171.5200000
GAZP,60,20230727,000000,171.3500000
GAZP,60,20230727,110000,172.8600000
GAZP,60,20230727,120000,172.3900000
GAZP,60,20230727,130000,172.5800000
GAZP,60,20230727,140000,172.4900000
GAZP,60,20230727,150000,172.3500000
GAZP,60,20230727,160000,172.2500000
GAZP,60,20230727,170000,172.0900000
GAZP,60,20230727,180000,172.1600000
GAZP,60,20230727,190000,172.0300000
GAZP,60,20230727,200000,172.3000000
GAZP,60,20230727,210000,172.2400000
GAZP,60,20230727,220000,172.2300000
GAZP,60,20230727,230000,172.0900000
GAZP,60,20230728,000000,172.0000000
GAZP,60,20230728,110000,171.7500000
GAZP,60,20230728,120000,171.8000000
GAZP,60,20230728,130000,171.8900000
GAZP,60,20230728,140000,172.0500000
GAZP,60,20230728,150000,172.0600000
GAZP,60,20230728,160000,171.8400000
GAZP,60,20230728,170000,171.8000000
GAZP,60,20230728,180000,171.8500000
GAZP,60,20230728,190000,171.9500000
GAZP,60,20230728,200000,171.9600000
GAZP,60,20230728,210000,171.7500000
GAZP,60,20230728,220000,171.4700000
GAZP,60,20230728,230000,171.5000000
GAZP,60,20230729,000000,171.4400000
GAZP,60,20230731,110000,172.4600000
GAZP,60,20230731,120000,172.3500000
GAZP,60,20230731,130000,172.3200000
GAZP,60,20230731,140000,173.5900000
GAZP,60,20230731,150000,173.7700000
GAZP,60,20230731,160000,173.9400000
GAZP,60,20230731,170000,173.9900000
GAZP,60,20230731,180000,173.9500000
GAZP,60,20230731,190000,173.9900000
GAZP,60,20230731,200000,174.1900000
GAZP,60,20230731,210000,174.5300000
GAZP,60,20230731,220000,174.3300000
GAZP,60,20230731,230000,174.3300000
GAZP,60,20230801,000000,174.3300000
GAZP,60,20230801,110000,173.7600000
GAZP,60,20230801,120000,173.4300000
GAZP,60,20230801,130000,174.2000000
GAZP,60,20230801,140000,174.3500000
GAZP,60,20230801,150000,174.1000000
GAZP,60,20230801,160000,173.9100000
GAZP,60,20230801,170000,173.6400000
GAZP,60,20230801,180000,172.8900000
GAZP,60,20230801,190000,172.8000000
GAZP,60,20230801,200000,173.0000000
GAZP,60,20230801,210000,172.9400000
